NumSteps	TimeMs	Time%	TasksNum	Tasks%	Watts	
9	841	1.94244	32	0.533422	41.1903	
11	833	1.92397	39	0.650108	41.1868	
4	328	0.757576	15	0.250042	38.6288	
1	68	0.157058	3	0.0500083	59.6931	
1	81	0.187084	3	0.0500083	52.6097	
5	319	0.736789	16	0.266711	47.6475	
3	406	0.937731	10	0.166694	32.0081	
7	610	1.40891	25	0.416736	43.8493	
3	210	0.485033	9	0.150025	45.1148	
2	142	0.327975	7	0.116686	42.396	
3	349	0.806079	10	0.166694	36.7157	
5	328	0.757576	15	0.250042	45.7932	
2	200	0.461936	7	0.116686	36.4127	
6	449	1.03705	21	0.350058	41.3824	
4	404	0.933112	15	0.250042	37.5348	
4	306	0.706763	14	0.233372	47.8191	
1	72	0.166297	3	0.0500083	60.0171	
2	238	0.549704	6	0.100017	39.2057	
1	98	0.226349	4	0.0666778	28.4639	
7	587	1.35578	25	0.416736	44.9093	
3	203	0.468865	10	0.166694	40.9426	
5	533	1.23106	18	0.30005	36.0549	
1	83	0.191704	4	0.0666778	37.7284	
1	65	0.150129	3	0.0500083	82.0611	
1	173	0.399575	4	0.0666778	23.8634	
1	70	0.161678	4	0.0666778	53.656	
9	785	1.8131	32	0.533422	40.708	
4	252	0.58204	12	0.200033	47.9339	
3	335	0.773744	11	0.183364	34.6535	
10	781	1.80386	36	0.6001	44.2398	
2	166	0.383407	8	0.133356	36.8611	
